time_stamp,user_id,visited
2014-04-22,1,1
2013-11-15,2,1
2013-11-29,2,1
2013-12-09,2,1
2013-12-25,2,1
2013-12-31,2,1
2014-01-08,2,1
2014-02-03,2,1
2014-02-08,2,1
2014-02-09,2,1
2014-02-13,2,1
2014-02-16,2,1
2014-03-09,2,1
2014-03-13,2,1
2014-03-31,2,1
2013-03-19,3,1
2013-05-22,4,1
2013-01-22,5,1
2013-12-19,6,1
2012-12-20,7,1
2013-01-16,10,1
2013-01-22,10,1
2013-01-30,10,1
2013-02-04,10,1
2013-02-06,10,1
2013-02-14,10,1
2013-02-17,10,1
2013-02-19,10,1
2013-02-26,10,1
2013-03-01,10,1
2013-03-02,10,1
2013-03-05,10,1
2013-03-09,10,1
2013-03-15,10,1
2013-03-17,10,1
2013-03-20,10,1
2013-03-22,10,1
2013-03-26,10,1
2013-04-07,10,1
2013-04-11,10,1
2013-04-13,10,1
2013-04-14,10,1
2013-04-17,10,1
2013-04-19,10,1
2013-04-24,10,1
2013-04-26,10,1
2013-04-27,10,1
2013-04-30,10,1
2013-05-01,10,1
2013-05-02,10,1
2013-05-03,10,1
2013-05-06,10,1
2013-05-07,10,1
2013-05-08,10,1
2013-05-10,10,1
2013-05-12,10,1
2013-05-15,10,1
2013-05-17,10,1
2013-05-18,10,1
2013-05-23,10,1
2013-05-24,10,1
2013-05-27,10,1
2013-05-29,10,1
2013-06-03,10,1
2013-06-04,10,1
2013-06-07,10,1
2013-06-09,10,1
2013-06-10,10,1
2013-06-11,10,1
2013-06-13,10,1
2013-06-15,10,1
2013-06-16,10,1
2013-06-17,10,1
2013-06-18,10,1
2013-06-22,10,1
2013-06-26,10,1
2013-06-28,10,1
2013-06-30,10,1
2013-07-03,10,1
2013-07-04,10,1
2013-07-05,10,1
2013-07-06,10,1
2013-07-08,10,1
2013-07-09,10,1
2013-07-13,10,1
2013-07-16,10,1
2013-07-17,10,1
2013-07-18,10,1
2013-07-20,10,1
2013-07-21,10,1
2013-07-22,10,1
2013-07-24,10,1
2013-07-25,10,1
2013-07-28,10,1
2013-07-29,10,1
2013-07-30,10,1
2013-08-02,10,1
2013-08-03,10,1
2013-08-04,10,1
2013-08-06,10,1
2013-08-08,10,1
2013-08-10,10,1
2013-08-13,10,1
2013-08-17,10,1
2013-08-19,10,1
2013-08-20,10,1
2013-08-23,10,1
2013-08-24,10,1
2013-08-26,10,1
2013-08-27,10,1
2013-08-29,10,1
2013-08-30,10,1
2013-08-31,10,1
2013-09-01,10,1
2013-09-02,10,1
2013-09-04,10,1
2013-09-05,10,1
2013-09-08,10,1
2013-09-09,10,1
2013-09-10,10,1
2013-09-13,10,1
2013-09-14,10,1
2013-09-15,10,1
2013-09-17,10,1
2013-09-21,10,1
2013-09-22,10,1
2013-09-24,10,1
2013-09-25,10,1
2013-09-30,10,1
2013-10-03,10,1
2013-10-05,10,1
2013-10-06,10,1
2013-10-09,10,1
2013-10-12,10,1
2013-10-13,10,1
2013-10-14,10,1
2013-10-17,10,1
2013-10-21,10,1
2013-10-23,10,1
2013-10-24,10,1
2013-10-25,10,1
2013-10-28,10,1
2013-10-29,10,1
2013-10-31,10,1
2013-11-04,10,1
2013-11-07,10,1
2013-11-10,10,1
2013-11-14,10,1
2013-11-16,10,1
2013-11-21,10,1
2013-11-24,10,1
2013-11-29,10,1
2013-12-02,10,1
2013-12-03,10,1
2013-12-06,10,1
2013-12-10,10,1
2013-12-11,10,1
2013-12-12,10,1
2013-12-17,10,1
2013-12-18,10,1
2013-12-19,10,1
2013-12-20,10,1
2013-12-22,10,1
2013-12-23,10,1
2013-12-24,10,1
2013-12-25,10,1
2013-12-27,10,1
2013-12-28,10,1
2013-12-29,10,1
2013-12-30,10,1
2014-01-01,10,1
2014-01-02,10,1
2014-01-03,10,1
2014-01-05,10,1
2014-01-08,10,1
2014-01-09,10,1
2014-01-10,10,1
2014-01-11,10,1
2014-01-13,10,1
2014-01-14,10,1
2014-01-15,10,1
2014-01-16,10,1
2014-01-17,10,1
2014-01-19,10,1
2014-01-20,10,1
2014-01-22,10,1
2014-01-23,10,1
2014-01-24,10,1
2014-01-25,10,1
2014-01-26,10,1
2014-01-27,10,1
2014-01-28,10,1
2014-01-29,10,1
2014-01-30,10,1
2014-02-01,10,1
2014-02-02,10,1
2014-02-05,10,1
2014-02-08,10,1
2014-02-09,10,1
2014-02-10,10,1
2014-02-12,10,1
2014-02-13,10,1
2014-02-14,10,1
2014-02-15,10,1
2014-02-16,10,1
2014-02-17,10,1
2014-02-18,10,1
2014-02-19,10,1
2014-02-20,10,1
2014-02-21,10,1
2014-02-22,10,1
2014-02-23,10,1
2014-02-24,10,1
2014-02-25,10,1
2014-02-26,10,1
2014-02-27,10,1
2014-02-28,10,1
2014-03-01,10,1
2014-03-02,10,1
2014-03-03,10,1
2014-03-04,10,1
2014-03-05,10,1
2014-03-06,10,1
2014-03-07,10,1
2014-03-08,10,1
2014-03-09,10,1
2014-03-10,10,1
2014-03-11,10,1
